Open,Minimum,Maximum,Close,Date,Position
"2,775,000","2,750,800","2,800,400","2,772,700",2018/07/26,High
"2,698,800","2,681,500","2,775,000","2,771,500",2018/07/25,High
"2,668,800","2,635,300","2,742,700","2,687,300",2018/07/24,Low
"2,693,100","2,674,600","2,795,800","2,693,100",2018/07/23,Low
"2,679,000","2,679,000","2,791,400","2,754,500",2018/07/22,High
"2,613,400","2,609,900","2,689,600","2,679,200",2018/07/21,High
"2,416,000","2,416,000","2,534,900","2,522,200",2018/07/20,High
"2,425,900","2,405,400","2,435,400","2,405,600",2018/07/19,Low
"2,374,900","2,370,300","2,435,600","2,428,700",2018/07/18,High
"2,364,100","2,359,500","2,400,800","2,377,000",2018/07/17,High
"2,307,300","2,287,900","2,368,700","2,365,500",2018/07/16,High
"2,352,800","2,292,500","2,368,700","2,306,800",2018/07/15,Low
"2,384,800","2,350,200","2,414,900","2,351,400",2018/07/14,Low
"2,285,600","2,284,400","2,371,000","2,360,600",2018/07/13,High
"2,291,300","2,276,300","2,292,000","2,282,300",2018/07/12,Low
"2,260,200","2,259,300","2,300,600","2,292,500",2018/07/11,High
"2,287,000","2,250,900","2,298,300","2,259,700",2018/07/10,Low
"2,340,500","2,278,700","2,340,500","2,289,500",2018/07/09,Low
"2,353,700","2,336,400","2,354,800","2,341,000",2018/07/08,Low
"2,336,400","2,331,700","2,375,600","2,351,400",2018/07/07,High
"2,374,500","2,320,200","2,374,500","2,350,200",2018/07/06,Low
"2,278,000","2,277,000","2,395,200","2,374,200",2018/07/05,High
"2,335,400","2,271,700","2,336,800","2,278,700",2018/07/04,Low
"2,408,200","2,322,500","2,409,300","2,336,400",2018/07/03,Low
"2,437,900","2,386,900","2,440,500","2,402,200",2018/07/02,Low
"2,447,400","2,425,300","2,495,700","2,439,800",2018/07/01,Low
"2,359,500","2,359,500","2,457,600","2,448,300",2018/06/30,High
"2,444,900","2,353,700","2,472,600","2,361,800",2018/06/29,Low
"2,434,000","2,412,600","2,451,100","2,447,400",2018/06/28,High
"2,398,900","2,398,000","2,537,200","2,432,200",2018/06/27,High
"2,390,200","2,302,900","2,394,100","2,392,900",2018/06/26,High
"2,359,000","2,308,400","2,432,200","2,391,800",2018/06/25,High
"2,576,700","2,331,700","2,592,600","2,360,400",2018/06/24,Low
"2,428,700","2,413,700","2,740,400","2,578,800",2018/06/23,High
"2,246,800","2,246,800","2,468,000","2,391,800",2018/06/22,High
"2,197,800","2,197,800","2,241,300","2,240,300",2018/06/21,High
